Log file for the Lucid Game Engine saved at: 13.3.2022-17.7.31.674/637827880516740039
[ Engine.MainInteraction.focusCheck() ] [ INFO ] Focus restored
[ Lucid_Example_Project-MainWindow.Constructor ] [ INFO ] Hello, World!
[ Lucid_Example_Project-TextUpdater ] [ WARN ] TextUpdater was created
[ Lucid_Example_Project-MainWindow.Constructor ] [ INFO ] updater is not null
[ Time ] [ INFO ] 13.03.2022 17:07:18
[ Time ] [ INFO ] 13.03.2022 17:07:18
[ Time ] [ INFO ] 13.03.2022 17:07:18
[ Time ] [ INFO ] 13.03.2022 17:07:18
[ Time ] [ INFO ] 13.03.2022 17:07:18
[ Time ] [ INFO ] 13.03.2022 17:07:18
[ Time ] [ INFO ] 13.03.2022 17:07:18
[ Time ] [ INFO ] 13.03.2022 17:07:18
[ Time ] [ INFO ] 13.03.2022 17:07:18
[ Time ] [ INFO ] 13.03.2022 17:07:18
[ Time ] [ INFO ] 13.03.2022 17:07:18
[ Time ] [ INFO ] 13.03.2022 17:07:18
[ Time ] [ INFO ] 13.03.2022 17:07:18
[ Time ] [ INFO ] 13.03.2022 17:07:18
[ Time ] [ INFO ] 13.03.2022 17:07:18
[ Time ] [ INFO ] 13.03.2022 17:07:18
[ Time ] [ INFO ] 13.03.2022 17:07:18
[ Time ] [ INFO ] 13.03.2022 17:07:18
[ Time ] [ INFO ] 13.03.2022 17:07:18
[ Time ] [ INFO ] 13.03.2022 17:07:18
[ Time ] [ INFO ] 13.03.2022 17:07:18
[ Time ] [ INFO ] 13.03.2022 17:07:18
[ Time ] [ INFO ] 13.03.2022 17:07:18
[ Time ] [ INFO ] 13.03.2022 17:07:18
[ Time ] [ INFO ] 13.03.2022 17:07:18
[ Time ] [ INFO ] 13.03.2022 17:07:18
[ Time ] [ INFO ] 13.03.2022 17:07:18
[ Time ] [ INFO ] 13.03.2022 17:07:18
[ Time ] [ INFO ] 13.03.2022 17:07:18
[ Time ] [ INFO ] 13.03.2022 17:07:18
[ Time ] [ INFO ] 13.03.2022 17:07:18
[ Time ] [ INFO ] 13.03.2022 17:07:18
[ Time ] [ INFO ] 13.03.2022 17:07:18
[ Time ] [ INFO ] 13.03.2022 17:07:19
[ Time ] [ INFO ] 13.03.2022 17:07:19
[ Time ] [ INFO ] 13.03.2022 17:07:19
[ Time ] [ INFO ] 13.03.2022 17:07:19
[ Time ] [ INFO ] 13.03.2022 17:07:19
[ Time ] [ INFO ] 13.03.2022 17:07:19
[ Time ] [ INFO ] 13.03.2022 17:07:19
[ Time ] [ INFO ] 13.03.2022 17:07:19
[ Time ] [ INFO ] 13.03.2022 17:07:19
[ Time ] [ INFO ] 13.03.2022 17:07:19
[ Time ] [ INFO ] 13.03.2022 17:07:19
[ Time ] [ INFO ] 13.03.2022 17:07:19
[ Time ] [ INFO ] 13.03.2022 17:07:19
[ Time ] [ INFO ] 13.03.2022 17:07:19
[ Time ] [ INFO ] 13.03.2022 17:07:19
[ Time ] [ INFO ] 13.03.2022 17:07:19
[ Time ] [ INFO ] 13.03.2022 17:07:19
[ Time ] [ INFO ] 13.03.2022 17:07:19
[ Time ] [ INFO ] 13.03.2022 17:07:19
[ Time ] [ INFO ] 13.03.2022 17:07:19
[ Time ] [ INFO ] 13.03.2022 17:07:19
[ Time ] [ INFO ] 13.03.2022 17:07:19
[ Time ] [ INFO ] 13.03.2022 17:07:19
[ Time ] [ INFO ] 13.03.2022 17:07:19
[ Time ] [ INFO ] 13.03.2022 17:07:19
[ Time ] [ INFO ] 13.03.2022 17:07:19
[ Time ] [ INFO ] 13.03.2022 17:07:19
[ Time ] [ INFO ] 13.03.2022 17:07:19
[ Time ] [ INFO ] 13.03.2022 17:07:19
[ Time ] [ INFO ] 13.03.2022 17:07:19
[ Time ] [ INFO ] 13.03.2022 17:07:19
[ Time ] [ INFO ] 13.03.2022 17:07:19
[ Time ] [ INFO ] 13.03.2022 17:07:19
[ Time ] [ INFO ] 13.03.2022 17:07:19
[ Time ] [ INFO ] 13.03.2022 17:07:19
[ Time ] [ INFO ] 13.03.2022 17:07:19
[ Time ] [ INFO ] 13.03.2022 17:07:19
[ Time ] [ INFO ] 13.03.2022 17:07:19
[ Time ] [ INFO ] 13.03.2022 17:07:19
[ Time ] [ INFO ] 13.03.2022 17:07:19
[ Time ] [ INFO ] 13.03.2022 17:07:19
[ Time ] [ INFO ] 13.03.2022 17:07:19
[ Time ] [ INFO ] 13.03.2022 17:07:19
[ Time ] [ INFO ] 13.03.2022 17:07:19
[ Time ] [ INFO ] 13.03.2022 17:07:19
[ Time ] [ INFO ] 13.03.2022 17:07:19
[ Time ] [ INFO ] 13.03.2022 17:07:19
[ Time ] [ INFO ] 13.03.2022 17:07:19
[ Time ] [ INFO ] 13.03.2022 17:07:19
[ Time ] [ INFO ] 13.03.2022 17:07:19
[ Time ] [ INFO ] 13.03.2022 17:07:19
[ Time ] [ INFO ] 13.03.2022 17:07:19
[ Time ] [ INFO ] 13.03.2022 17:07:19
[ Time ] [ INFO ] 13.03.2022 17:07:19
[ Time ] [ INFO ] 13.03.2022 17:07:19
[ Time ] [ INFO ] 13.03.2022 17:07:19
[ Time ] [ INFO ] 13.03.2022 17:07:19
[ Time ] [ INFO ] 13.03.2022 17:07:19
[ Time ] [ INFO ] 13.03.2022 17:07:19
[ Time ] [ INFO ] 13.03.2022 17:07:19
[ Time ] [ INFO ] 13.03.2022 17:07:19
[ Time ] [ INFO ] 13.03.2022 17:07:19
[ Time ] [ INFO ] 13.03.2022 17:07:19
[ Time ] [ INFO ] 13.03.2022 17:07:19
[ Time ] [ INFO ] 13.03.2022 17:07:20
[ Time ] [ INFO ] 13.03.2022 17:07:20
[ Time ] [ INFO ] 13.03.2022 17:07:20
[ Time ] [ INFO ] 13.03.2022 17:07:20
[ Time ] [ INFO ] 13.03.2022 17:07:20
[ Time ] [ INFO ] 13.03.2022 17:07:20
[ Time ] [ INFO ] 13.03.2022 17:07:20
[ Time ] [ INFO ] 13.03.2022 17:07:20
[ Time ] [ INFO ] 13.03.2022 17:07:20
[ Time ] [ INFO ] 13.03.2022 17:07:20
[ Time ] [ INFO ] 13.03.2022 17:07:20
[ Time ] [ INFO ] 13.03.2022 17:07:20
[ Time ] [ INFO ] 13.03.2022 17:07:20
[ Time ] [ INFO ] 13.03.2022 17:07:20
[ Time ] [ INFO ] 13.03.2022 17:07:20
[ Time ] [ INFO ] 13.03.2022 17:07:20
[ Time ] [ INFO ] 13.03.2022 17:07:20
[ Time ] [ INFO ] 13.03.2022 17:07:20
[ Time ] [ INFO ] 13.03.2022 17:07:20
[ Time ] [ INFO ] 13.03.2022 17:07:20
[ Time ] [ INFO ] 13.03.2022 17:07:20
[ Time ] [ INFO ] 13.03.2022 17:07:20
[ Time ] [ INFO ] 13.03.2022 17:07:20
[ Time ] [ INFO ] 13.03.2022 17:07:20
[ Time ] [ INFO ] 13.03.2022 17:07:20
[ Time ] [ INFO ] 13.03.2022 17:07:20
[ Time ] [ INFO ] 13.03.2022 17:07:20
[ Time ] [ INFO ] 13.03.2022 17:07:20
[ Time ] [ INFO ] 13.03.2022 17:07:20
[ Time ] [ INFO ] 13.03.2022 17:07:20
[ Time ] [ INFO ] 13.03.2022 17:07:20
[ Time ] [ INFO ] 13.03.2022 17:07:20
[ Time ] [ INFO ] 13.03.2022 17:07:20
[ Time ] [ INFO ] 13.03.2022 17:07:20
[ Time ] [ INFO ] 13.03.2022 17:07:20
[ Time ] [ INFO ] 13.03.2022 17:07:20
[ Time ] [ INFO ] 13.03.2022 17:07:20
[ Time ] [ INFO ] 13.03.2022 17:07:20
[ Time ] [ INFO ] 13.03.2022 17:07:20
[ Time ] [ INFO ] 13.03.2022 17:07:20
[ Time ] [ INFO ] 13.03.2022 17:07:20
[ Time ] [ INFO ] 13.03.2022 17:07:20
[ Time ] [ INFO ] 13.03.2022 17:07:20
[ Time ] [ INFO ] 13.03.2022 17:07:20
[ Time ] [ INFO ] 13.03.2022 17:07:20
[ Time ] [ INFO ] 13.03.2022 17:07:20
[ Time ] [ INFO ] 13.03.2022 17:07:20
[ Time ] [ INFO ] 13.03.2022 17:07:20
[ Time ] [ INFO ] 13.03.2022 17:07:20
[ Time ] [ INFO ] 13.03.2022 17:07:20
[ Time ] [ INFO ] 13.03.2022 17:07:20
[ Time ] [ INFO ] 13.03.2022 17:07:20
[ Time ] [ INFO ] 13.03.2022 17:07:20
[ Time ] [ INFO ] 13.03.2022 17:07:20
[ Time ] [ INFO ] 13.03.2022 17:07:20
[ Time ] [ INFO ] 13.03.2022 17:07:20
[ Time ] [ INFO ] 13.03.2022 17:07:20
[ Time ] [ INFO ] 13.03.2022 17:07:20
[ Time ] [ INFO ] 13.03.2022 17:07:20
[ Time ] [ INFO ] 13.03.2022 17:07:20
[ Time ] [ INFO ] 13.03.2022 17:07:20
[ Time ] [ INFO ] 13.03.2022 17:07:20
[ Time ] [ INFO ] 13.03.2022 17:07:20
[ Time ] [ INFO ] 13.03.2022 17:07:20
[ Time ] [ INFO ] 13.03.2022 17:07:21
[ Time ] [ INFO ] 13.03.2022 17:07:21
[ Time ] [ INFO ] 13.03.2022 17:07:21
[ Time ] [ INFO ] 13.03.2022 17:07:21
[ Time ] [ INFO ] 13.03.2022 17:07:21
[ Time ] [ INFO ] 13.03.2022 17:07:21
[ Time ] [ INFO ] 13.03.2022 17:07:21
[ Time ] [ INFO ] 13.03.2022 17:07:21
[ Time ] [ INFO ] 13.03.2022 17:07:21
[ Time ] [ INFO ] 13.03.2022 17:07:21
[ Time ] [ INFO ] 13.03.2022 17:07:21
[ Time ] [ INFO ] 13.03.2022 17:07:21
[ Time ] [ INFO ] 13.03.2022 17:07:21
[ Time ] [ INFO ] 13.03.2022 17:07:21
[ Time ] [ INFO ] 13.03.2022 17:07:21
[ Time ] [ INFO ] 13.03.2022 17:07:21
[ Time ] [ INFO ] 13.03.2022 17:07:21
[ Time ] [ INFO ] 13.03.2022 17:07:21
[ Time ] [ INFO ] 13.03.2022 17:07:21
[ Time ] [ INFO ] 13.03.2022 17:07:21
[ Time ] [ INFO ] 13.03.2022 17:07:21
[ Time ] [ INFO ] 13.03.2022 17:07:21
[ Time ] [ INFO ] 13.03.2022 17:07:21
[ Time ] [ INFO ] 13.03.2022 17:07:21
[ Time ] [ INFO ] 13.03.2022 17:07:21
[ Time ] [ INFO ] 13.03.2022 17:07:21
[ Time ] [ INFO ] 13.03.2022 17:07:21
[ Time ] [ INFO ] 13.03.2022 17:07:21
[ Time ] [ INFO ] 13.03.2022 17:07:21
[ Time ] [ INFO ] 13.03.2022 17:07:21
[ Time ] [ INFO ] 13.03.2022 17:07:21
[ Time ] [ INFO ] 13.03.2022 17:07:21
[ Time ] [ INFO ] 13.03.2022 17:07:21
[ Time ] [ INFO ] 13.03.2022 17:07:21
[ Time ] [ INFO ] 13.03.2022 17:07:21
[ Time ] [ INFO ] 13.03.2022 17:07:21
[ Time ] [ INFO ] 13.03.2022 17:07:21
[ Time ] [ INFO ] 13.03.2022 17:07:21
[ Time ] [ INFO ] 13.03.2022 17:07:21
[ Time ] [ INFO ] 13.03.2022 17:07:21
[ Time ] [ INFO ] 13.03.2022 17:07:21
[ Time ] [ INFO ] 13.03.2022 17:07:21
[ Time ] [ INFO ] 13.03.2022 17:07:21
[ Time ] [ INFO ] 13.03.2022 17:07:21
[ Time ] [ INFO ] 13.03.2022 17:07:21
[ Time ] [ INFO ] 13.03.2022 17:07:21
[ Time ] [ INFO ] 13.03.2022 17:07:21
[ Time ] [ INFO ] 13.03.2022 17:07:22
[ Time ] [ INFO ] 13.03.2022 17:07:22
[ Time ] [ INFO ] 13.03.2022 17:07:22
